#OTUID,taxonomy,confidence
70b91589e470a302532e543c20c166c5,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_penicillioides,0.6
cc71881e160780bce8b9005ca42b75d0,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Peniophoraceae;g__Peniophora,0.7
66b317779d26d964c30a7769f33b0ab4,k__Fungi;p__Basidiomycota;c__Agaricomycetes,1
edc9d1337f6b7dc69256ffc2c370a441,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,0.6
df72c16660958f54d6e9f02471df15f7,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,0.6
03b9c29ca89637a36699b98e312af757,Unassigned,1
27de0d4638972ea0f3ce2b8400f31bee,Unassigned,1
d0901f69f2570ca965dbed52b9849a2f,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales,0.6
3a37d481a34e57218ff896a3e1a39ce9,k__Fungi;p__Ascomycota,0.7
7ebf5242b55c1b8a3330c205d0bef0da,Unassigned,1
d0c64f4bb22f37d06bd72d82cf36d9a4,k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Tremellaceae;g__Cryptococcus;s__Cryptococcus_uniguttulatus,1
57d64de7faa669f3becb3265d7a20262,k__Fungi;p__Ascomycota,0.7
a4f66a430f4c4c3d42ad241583c335cb,Unassigned,1
c8c906f54fbeb9faa1217a162a397f3b,k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Candida;s__Candida_tropicalis,0.777777778
7cdb210bf4858f61d99c3ad47905d4a1,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__unidentified;g__unidentified;s__unidentified,1
191c9b463bbd3e12d1d092004e0565f0,k__Fungi;p__Ascomycota,0.7
34bbc7bcbd46c832de88807132b1dd28,Unassigned,1
cfe14c9db6584d5233bab2d3ff071217,k__Fungi;p__Ascomycota,0.7
1c7cfcbead1c3fd86accb282240044a5,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Alutaceodontia;s__Alutaceodontia_alutacea,1
